GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
campusflow,com.campusflow.dto.response,UserResponse,386,0,70,0,12,0,58,0,23,0
campusflow,com.campusflow.dto.response,StudentResponse.StudentResponseBuilder,45,114,0,0,0,1,2,17,2,17
campusflow,com.campusflow.dto.response,CourseResponse,646,0,118,0,18,0,94,0,35,0
campusflow,com.campusflow.dto.response,AuditLogResponse,474,0,86,0,14,0,70,0,27,0
campusflow,com.campusflow.dto.response,GraduationProgressResponse.GraduationProgressResponseBuilder,56,0,0,0,1,0,8,0,8,0
campusflow,com.campusflow.dto.response,StudentsPerCourseResponse.StudentsPerCourseResponseBuilder,45,0,0,0,1,0,7,0,7,0
campusflow,com.campusflow.dto.response,AuditLogResponse.AuditLogResponseBuilder,101,0,0,0,1,0,13,0,13,0
campusflow,com.campusflow.dto.response,UserResponse.UserResponseBuilder,81,0,0,0,1,0,11,0,11,0
campusflow,com.campusflow.dto.response,AuthResponse.AuthResponseBuilder,56,0,0,0,1,0,8,0,8,0
campusflow,com.campusflow.dto.response,StatisticsResponse.StatisticsResponseBuilder,64,0,0,0,1,0,9,0,9,0
campusflow,com.campusflow.dto.response,EnrollmentResponse,562,0,102,0,16,0,82,0,31,0
campusflow,com.campusflow.dto.response,ActiveCourseResponse.ActiveCourseResponseBuilder,54,0,0,0,1,0,8,0,8,0
campusflow,com.campusflow.dto.response,EnrollmentResponse.EnrollmentResponseBuilder,121,0,0,0,1,0,15,0,15,0
campusflow,com.campusflow.dto.response,StudentResponse,665,71,134,0,13,7,99,7,32,7
campusflow,com.campusflow.dto.response,StudentsPerCourseResponse,214,0,38,0,8,0,34,0,15,0
campusflow,com.campusflow.dto.response,PagedResponse.PagedResponseBuilder,19,63,0,0,0,1,1,10,1,10
campusflow,com.campusflow.dto.response,DepartmentResponse,215,0,38,0,8,0,34,0,15,0
campusflow,com.campusflow.dto.response,StatisticsResponse,301,0,54,0,10,0,46,0,19,0
campusflow,com.campusflow.dto.response,ErrorResponse.ErrorResponseBuilder,73,0,0,0,1,0,10,0,10,0
campusflow,com.campusflow.dto.response,AuthResponse,265,0,46,0,9,0,40,0,17,0
campusflow,com.campusflow.dto.response,CourseResponse.CourseResponseBuilder,137,0,0,0,1,0,17,0,17,0
campusflow,com.campusflow.dto.response,ErrorResponse,344,0,62,0,11,0,52,0,21,0
campusflow,com.campusflow.dto.response,DepartmentResponse.DepartmentResponseBuilder,46,0,0,0,1,0,7,0,7,0
campusflow,com.campusflow.dto.response,GraduationProgressResponse,259,0,46,0,9,0,40,0,17,0
campusflow,com.campusflow.dto.response,PagedResponse,353,34,70,0,9,3,55,3,20,3
campusflow,com.campusflow.dto.response,ActiveCourseResponse,257,0,46,0,9,0,40,0,17,0
campusflow,com.campusflow.dto.request,StudentUpdateRequest,183,31,38,0,2,6,28,6,9,6
campusflow,com.campusflow.dto.request,CourseCreateRequest.CourseCreateRequestBuilder,72,0,0,0,1,0,10,0,10,0
campusflow,com.campusflow.dto.request,UserRegistrationRequest,300,0,54,0,10,0,46,0,19,0
campusflow,com.campusflow.dto.request,GradeUpdateRequest,128,0,22,0,6,0,22,0,11,0
campusflow,com.campusflow.dto.request,StudentUpdateRequest.StudentUpdateRequestBuilder,10,35,0,0,0,1,1,6,1,6
campusflow,com.campusflow.dto.request,DepartmentUpdateRequest.DepartmentUpdateRequestBuilder,27,0,0,0,1,0,5,0,5,0
campusflow,com.campusflow.dto.request,PaginationRequest,187,0,30,0,7,0,28,0,13,0
campusflow,com.campusflow.dto.request,ProfileUpdateRequest,171,0,30,0,7,0,28,0,13,0
campusflow,com.campusflow.dto.request,UserRegistrationRequest.UserRegistrationRequestBuilder,63,0,0,0,1,0,9,0,9,0
campusflow,com.campusflow.dto.request,GradeUpdateRequest.GradeUpdateRequestBuilder,27,0,0,0,1,0,5,0,5,0
campusflow,com.campusflow.dto.request,StudentCreateRequest,220,37,46,0,2,7,33,7,10,7
campusflow,com.campusflow.dto.request,RefreshRequest.RefreshRequestBuilder,18,0,0,0,1,0,4,0,4,0
campusflow,com.campusflow.dto.request,UserAdminUpdateRequest.UserAdminUpdateRequestBuilder,27,0,0,0,1,0,5,0,5,0
campusflow,com.campusflow.dto.request,DepartmentCreateRequest,128,0,22,0,6,0,22,0,11,0
campusflow,com.campusflow.dto.request,CourseUpdateRequest,257,0,46,0,9,0,40,0,17,0
campusflow,com.campusflow.dto.request,LoginRequest,128,0,22,0,6,0,22,0,11,0
campusflow,com.campusflow.dto.request,EnrollmentCreateRequest,128,0,22,0,6,0,22,0,11,0
campusflow,com.campusflow.dto.request,EnrollmentCreateRequest.EnrollmentCreateRequestBuilder,27,0,0,0,1,0,5,0,5,0
campusflow,com.campusflow.dto.request,LoginRequest.LoginRequestBuilder,27,0,0,0,1,0,5,0,5,0
campusflow,com.campusflow.dto.request,UserAdminCreateRequest,343,0,62,0,11,0,52,0,21,0
campusflow,com.campusflow.dto.request,RefreshRequest,85,0,14,0,5,0,16,0,9,0
campusflow,com.campusflow.dto.request,DepartmentUpdateRequest,128,0,22,0,6,0,22,0,11,0
campusflow,com.campusflow.dto.request,PaginationRequest.PaginationRequestBuilder,36,0,0,0,1,0,6,0,6,0
campusflow,com.campusflow.dto.request,UserAdminCreateRequest.UserAdminCreateRequestBuilder,72,0,0,0,1,0,10,0,10,0
campusflow,com.campusflow.dto.request,ProfileUpdateRequest.ProfileUpdateRequestBuilder,36,0,0,0,1,0,6,0,6,0
campusflow,com.campusflow.dto.request,StudentCreateRequest.StudentCreateRequestBuilder,17,37,0,0,0,1,2,6,2,6
campusflow,com.campusflow.dto.request,CourseCreateRequest,351,0,62,0,12,0,52,0,21,0
campusflow,com.campusflow.dto.request,UserAdminUpdateRequest,128,0,22,0,6,0,22,0,11,0
campusflow,com.campusflow.dto.request,CourseUpdateRequest.CourseUpdateRequestBuilder,54,0,0,0,1,0,8,0,8,0
campusflow,com.campusflow.dto.request,DepartmentCreateRequest.DepartmentCreateRequestBuilder,27,0,0,0,1,0,5,0,5,0
campusflow,com.campusflow.config,SecurityConfig,203,0,4,0,38,0,13,0,11,0
campusflow,com.campusflow.config,JpaConfig,3,0,0,0,1,0,1,0,1,0
campusflow,com.campusflow.config,WebConfig,59,0,0,0,7,0,2,0,2,0
campusflow,com.campusflow.util,SecurityUtils,68,0,8,0,13,0,9,0,5,0
campusflow,com.campusflow.exception,ValidationException,23,13,0,0,9,5,3,2,3,2
campusflow,com.campusflow.exception,GlobalExceptionHandler,168,0,0,0,55,0,8,0,8,0
campusflow,com.campusflow.exception,NotFoundException,10,7,0,0,4,3,2,1,2,1
campusflow,com.campusflow.dto.mapper,EnrollmentMapper,7,0,2,0,1,0,2,0,1,0
campusflow,com.campusflow.dto.mapper,CourseMapper,17,0,4,0,4,0,4,0,2,0
campusflow,com.campusflow.dto.mapper,CourseMapperImpl,211,0,12,0,51,0,12,0,6,0
campusflow,com.campusflow.dto.mapper,UserMapperImpl,98,0,16,0,32,0,12,0,4,0
campusflow,com.campusflow.dto.mapper,DepartmentMapper,7,0,2,0,1,0,2,0,1,0
campusflow,com.campusflow.dto.mapper,StudentMapperImpl,323,0,42,0,96,0,31,0,10,0
campusflow,com.campusflow.dto.mapper,StudentMapper,7,0,2,0,1,0,2,0,1,0
campusflow,com.campusflow.dto.mapper,EnrollmentMapperImpl,219,0,28,0,64,0,22,0,8,0
campusflow,com.campusflow.dto.mapper,DepartmentMapperImpl,34,0,2,0,9,0,3,0,2,0
campusflow,com.campusflow.domain.audit,AuditBase,22,15,0,0,3,5,6,3,6,3
campusflow,com.campusflow.domain,User.UserBuilder,36,67,0,0,0,1,3,10,3,10
campusflow,com.campusflow.domain,Department,42,38,0,0,5,6,9,4,9,4
